Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.63 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.49 ,mcc scores: 0.11 ,roc-auc scores: 0.70 ,cohen scores: 0.02 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.19 ,roc-auc scores: 0.68 ,cohen scores: 0.07 
Threshold: 0.25 ,Senstivity: 0.89 ,Specificity: 0.12 ,Accuracy: 0.49 ,mcc scores: 0.03 ,roc-auc scores: 0.67 ,cohen scores: 0.02 
Threshold: 0.30 ,Senstivity: 0.89 ,Specificity: 0.25 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.71 ,cohen scores: 0.14 
Threshold: 0.35 ,Senstivity: 0.78 ,Specificity: 0.30 ,Accuracy: 0.53 ,mcc scores: 0.10 ,roc-auc scores: 0.69 ,cohen scores: 0.08 
Threshold: 0.40 ,Senstivity: 0.81 ,Specificity: 0.45 ,Accuracy: 0.62 ,mcc scores: 0.28 ,roc-auc scores: 0.72 ,cohen scores: 0.26 
Threshold: 0.45 ,Senstivity: 0.65 ,Specificity: 0.50 ,Accuracy: 0.57 ,mcc scores: 0.15 ,roc-auc scores: 0.62 ,cohen scores: 0.15 
Threshold: 0.50 ,Senstivity: 0.57 ,Specificity: 0.68 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.68 ,cohen scores: 0.24 
Threshold: 0.55 ,Senstivity: 0.49 ,Specificity: 0.78 ,Accuracy: 0.64 ,mcc scores: 0.27 ,roc-auc scores: 0.72 ,cohen scores: 0.26 
Threshold: 0.60 ,Senstivity: 0.41 ,Specificity: 0.80 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.67 ,cohen scores: 0.21 
Threshold: 0.65 ,Senstivity: 0.32 ,Specificity: 0.82 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.66 ,cohen scores: 0.15 
Threshold: 0.70 ,Senstivity: 0.27 ,Specificity: 0.95 ,Accuracy: 0.62 ,mcc scores: 0.30 ,roc-auc scores: 0.71 ,cohen scores: 0.23 
Threshold: 0.75 ,Senstivity: 0.24 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.71 ,cohen scores: 0.25 
Threshold: 0.80 ,Senstivity: 0.16 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.30 ,roc-auc scores: 0.63 ,cohen scores: 0.17 
Threshold: 0.85 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.65 ,cohen scores: 0.06 
Threshold: 0.90 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.24 ,roc-auc scores: 0.66 ,cohen scores: 0.11 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.65 ,cohen scores: 0.00 
